field_id	title	notes
24504	Domestic garden percentage, buffer 300m	The percentage of the home location buffer classed as 'Domestic garden', as a proportion of all land-use types, and with home location data buffered at 300m. <p> Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England. <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as grd300_0 and grd300_1.
24505	Water percentage, buffer 300m	The percentage of the home location buffer classed as 'Water', as a proportion of all land-use types, and with home location data buffered at 300m. <p> Land use data were obtained from the Generalized land use database for England (GLUD) 2005 data at the 2001 Census Output Area level. Each home location polygon was then allocated an area weighted mean of the land use percentage coverage for the 2001 Census Output Areas intersecting the home location buffer. Data are only available for participants whose home location was in England. <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as wa300_0 and wa300_1.
24506	Natural environment percentage, buffer 1000m	The percentage of the home location buffer classed as 'Natural Environment' in the Land Cover Map (LCM) 2007, and with home location data buffered at 1000m. <p> Land use data were obtained from the Land Cover Map, 2007, and the 23 land cover classes were reclassified to a binary classification; classes 1-2 ('Natural Environment'), and 22-23 ('Built environment'). <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as ne1000_0 and ne1000_1.
24507	Natural environment percentage, buffer 300m	The percentage of the home location buffer classed as 'Natural Environment' in the Land Cover Map (LCM) 2007, and with home location data buffered at 300m. <p> Land use data were obtained from the Land Cover Map, 2007, and the 23 land cover classes were reclassified to a binary classification; classes 1-2 ('Natural Environment'), and 22-23 ('Built environment'). <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as ne300_0 and ne300_1.
24508	Distance (Euclidean) to coast	Distance from each UK Biobank participant's residence location to the coast, measured in Kilometres (Km). <p> Further details of the methods used to derive these data can be found in ~R15374~, where this field is derived from variables referred to as coastkm_0 and coastkm_1.
25000	Volumetric scaling from T1 head image to standard space	Volumetric scaling from the T1 head image to standard space
25001	Volume of peripheral cortical grey matter (normalised for head size)	Volume of peripheral cortical grey matter (from T1 brain image, normalised for head size)
25002	Volume of peripheral cortical grey matter	Volume of peripheral cortical grey matter (from T1 brain image)
25003	Volume of ventricular cerebrospinal fluid (normalised for head size)	Volume of ventricular cerebrospinal fluid (from T1 brain image, normalised for head size)
25004	Volume of ventricular cerebrospinal fluid	Volume of ventricular cerebrospinal fluid (from T1 brain image)
25005	Volume of grey matter (normalised for head size)	Volume of grey matter (from T1 brain image, normalised for head size)
25006	Volume of grey matter	Volume of grey matter (from T1 brain image)
25007	Volume of white matter (normalised for head size)	Volume of white matter (from T1 brain image, normalised for head size)
25008	Volume of white matter	Volume of white matter (from T1 brain image)
25009	Volume of brain, grey+white matter (normalised for head size)	Volume of brain, grey+white, from T1 brain image, normalised for head size
25010	Volume of brain, grey+white matter	Volume of brain, grey+white, from T1 brain image
25011	Volume of thalamus (left)	Volume of left thalamus (from T1 brain image)
25012	Volume of thalamus (right)	Volume of right thalamus (from T1 brain image)
25013	Volume of caudate (left)	Volume of left caudate (from T1 brain image)
25014	Volume of caudate (right)	Volume of right caudate (from T1 brain image)
25015	Volume of putamen (left)	Volume of left putamen (from T1 brain image)
25016	Volume of putamen (right)	Volume of right putamen (from T1 brain image)
25017	Volume of pallidum (left)	Volume of left pallidum (from T1 brain image)
25018	Volume of pallidum (right)	Volume of right pallidum (from T1 brain image)
25019	Volume of hippocampus (left)	Volume of left hippocampus (from T1 brain image)
25020	Volume of hippocampus (right)	Volume of right hippocampus (from T1 brain image)
25021	Volume of amygdala (left)	Volume of left amygdala (from T1 brain image)
25022	Volume of amygdala (right)	Volume of right amygdala (from T1 brain image)
25023	Volume of accumbens (left)	Volume of left accumbens (from T1 brain image)
25024	Volume of accumbens (right)	Volume of right accumbens (from T1 brain image)
25025	Volume of brain stem + 4th ventricle	Volume of brain stem + 4th ventricle (from T1 brain image)
25026	Median T2star in thalamus (left)	Median T2star in left thalamus (from SWI data)
25027	Median T2star in thalamus (right)	Median T2star in right thalamus (from SWI data)
25028	Median T2star in caudate (left)	Median T2star in left caudate (from SWI data)
25029	Median T2star in caudate (right)	Median T2star in right caudate (from SWI data)
25030	Median T2star in putamen (left)	Median T2star in left putamen (from SWI data)
25031	Median T2star in putamen (right)	Median T2star in right putamen (from SWI data)
25032	Median T2star in pallidum (left)	Median T2star in left pallidum (from SWI data)
25033	Median T2star in pallidum (right)	Median T2star in right pallidum (from SWI data)
25034	Median T2star in hippocampus (left)	Median T2star in left hippocampus (from SWI data)
25035	Median T2star in hippocampus (right)	Median T2star in right hippocampus (from SWI data)
25036	Median T2star in amygdala (left)	Median T2star in left amygdala (from SWI data)
25037	Median T2star in amygdala (right)	Median T2star in right amygdala (from SWI data)
25038	Median T2star in accumbens (left)	Median T2star in left accumbens (from SWI data)
25039	Median T2star in accumbens (right)	Median T2star in right accumbens (from SWI data)
25040	Median BOLD effect (in group-defined mask) for shapes activation	Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for shapes activation (in task fMRI data)
25042	Median z-statistic (in group-defined mask) for shapes activation	Median z-statistic (in group-defined mask) for shapes activation (in task fMRI data)
25044	Median BOLD effect (in group-defined mask) for faces activation	Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces activation (in task fMRI data)
25046	Median z-statistic (in group-defined mask) for faces activation	Median z-statistic (in group-defined mask) for faces activation (in task fMRI data)
25048	Median BOLD effect (in group-defined mask) for faces-shapes contrast	Median BOLD (blood-oxygen-level dependent) effect (in group-defined mask) for faces-shapes contrast (in task fMRI data)
25050	Median z-statistic (in group-defined mask) for faces-shapes contrast	Median z-statistic (in group-defined mask) for faces-shapes contrast (in task fMRI data)
25052	Median BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast	Median BOLD (blood-oxygen-level dependent) effect (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data)
25054	Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast	Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast (in task fMRI data)
25056	Mean FA in middle cerebellar peduncle on FA skeleton	Mean FA (fractional anisotropy) in middle cerebellar peduncle on FA skeleton (from dMRI data)
25057	Mean FA in pontine crossing tract on FA skeleton	Mean FA (fractional anisotropy) in pontine crossing tract on FA skeleton (from dMRI data)
25058	Mean FA in genu of corpus callosum on FA skeleton	Mean FA (fractional anisotropy) in genu of corpus callosum on FA skeleton (from dMRI data)
25059	Mean FA in body of corpus callosum on FA skeleton	Mean FA (fractional anisotropy) in body of corpus callosum on FA skeleton (from dMRI data)
25060	Mean FA in splenium of corpus callosum on FA skeleton	Mean FA (fractional anisotropy) in splenium of corpus callosum on FA skeleton (from dMRI data)
25061	Mean FA in fornix on FA skeleton	Mean FA (fractional anisotropy) in fornix on FA skeleton (from dMRI data)
25062	Mean FA in corticospinal tract on FA skeleton (right)	Mean FA (fractional anisotropy) in corticospinal tract (right) on FA skeleton (from dMRI data)
25063	Mean FA in corticospinal tract on FA skeleton (left)	Mean FA (fractional anisotropy) in corticospinal tract (left) on FA skeleton (from dMRI data)
25064	Mean FA in medial lemniscus on FA skeleton (right)	Mean FA (fractional anisotropy) in medial lemniscus (right) on FA skeleton (from dMRI data)
25065	Mean FA in medial lemniscus on FA skeleton (left)	Mean FA (fractional anisotropy) in medial lemniscus (left) on FA skeleton (from dMRI data)
25066	Mean FA in inferior cerebellar peduncle on FA skeleton (right)	Mean FA (fractional anisotropy) in inferior cerebellar peduncle (right) on FA skeleton (from dMRI data)
25067	Mean FA in inferior cerebellar peduncle on FA skeleton (left)	Mean FA (fractional anisotropy) in inferior cerebellar peduncle (left) on FA skeleton (from dMRI data)
25068	Mean FA in superior cerebellar peduncle on FA skeleton (right)	Mean FA (fractional anisotropy) in superior cerebellar peduncle (right) on FA skeleton (from dMRI data)
25069	Mean FA in superior cerebellar peduncle on FA skeleton (left)	Mean FA (fractional anisotropy) in superior cerebellar peduncle (left) on FA skeleton (from dMRI data)
25070	Mean FA in cerebral peduncle on FA skeleton (right)	Mean FA (fractional anisotropy) in cerebral peduncle (right) on FA skeleton (from dMRI data)
25071	Mean FA in cerebral peduncle on FA skeleton (left)	Mean FA (fractional anisotropy) in cerebral peduncle (left) on FA skeleton (from dMRI data)
25072	Mean FA in anterior limb of internal capsule on FA skeleton (right)	Mean FA (fractional anisotropy) in anterior limb of internal capsule (right) on FA skeleton (from dMRI data)
